Cog,CommunicationState,Latitude,Longitude,MessageID,NavigationalStatus,PositionAccuracy,Raim,RateOfTurn,RepeatIndicator,Sog,Spare,SpecialManoeuvreIndicator,Timestamp,TrueHeading,UserID,Valid,geometry,AisVersion,CallSign,Destination,Dimension,Dte,Eta,FixType,ImoNumber,MaximumStaticDraught,Name,Type
280.5,86506.0,54.45508333333333,18.890890000000002,5,1.0,False,False,-3.0,0,0.0,False,0.0,52.0,130.0,215845000,True,POINT (18.890890000000002 54.45508333333333),2.0,9HA5328,PL GDN              ,"{'A': 228, 'B': 49, 'C': 21, 'D': 27}",False,"{'Day': 11, 'Hour': 18, 'Minute': 0, 'Month': 4}",1.0,9889942.0,15.0,KANARIS 21          ,80.0
211.9,84938.0,54.43683333333333,18.848446666666668,3,1.0,True,True,0.0,0,0.1,0,0.0,52.0,69.0,538090675,True,POINT (18.848446666666668 54.43683333333333),,,,,,,,,,,
334.1,85834.0,54.374561666666665,18.66168,3,5.0,False,False,0.0,0,0.0,0,0.0,55.0,344.0,255946000,True,POINT (18.66168 54.374561666666665),,,,,,,,,,,
256.4,2285.0,54.535201666666666,18.519475,1,0.0,False,False,-2.0,0,0.0,0,0.0,54.0,56.0,305067000,True,POINT (18.519475 54.535201666666666),2.0,V2CP4,PLGDY,"{'A': 68, 'B': 12, 'C': 4, 'D': 9}",False,"{'Day': 10, 'Hour': 20, 'Minute': 30, 'Month': 4}",1.0,9422275.0,3.2,LIANNE,70.0
183.3,86826.0,54.44887333333334,18.867665,5,1.0,True,False,-9.0,0,0.0,False,0.0,56.0,60.0,266235000,True,POINT (18.867665 54.44887333333334),1.0,SJLF   ,PL GDN              ,"{'A': 120, 'B': 24, 'C': 22, 'D': 1}",False,"{'Day': 13, 'Hour': 23, 'Minute': 0, 'Month': 4}",1.0,9301873.0,6.1,FURE WEST           ,80.0
179.0,84938.0,54.529228333333336,18.552191666666666,3,5.0,False,False,0.0,0,0.0,0,0.0,55.0,264.0,538007272,True,POINT (18.552191666666666 54.529228333333336),,,,,,,,,,,
20.2,0.0,54.535665,18.525816666666667,3,5.0,True,False,0.0,0,0.0,0,0.0,53.0,238.0,268251601,True,POINT (18.525816666666667 54.535665),,,,,,,,,,,
148.1,49307.0,54.389046666666665,18.672518333333336,1,0.0,True,False,0.0,0,0.0,0,0.0,55.0,346.0,261037120,True,POINT (18.672518333333336 54.389046666666665),,,,,,,,,,,
146.5,153804.0,54.51519666666666,18.563748333333333,1,5.0,False,False,-128.0,0,102.2,0,0.0,0.0,511.0,620999020,True,POINT (18.563748333333333 54.51519666666666),,,,,,,,,,,
,,,,5,,,,,0,,False,,,,255805954,True,,2.0,CQIG6,PLGDN,"{'A': 121, 'B': 13, 'C': 14, 'D': 8}",False,"{'Day': 25, 'Hour': 3, 'Minute': 0, 'Month': 3}",1.0,9354375.0,6.2,X-PRESS TAGUS,70.0
